trip_nb,local_dtm,latitude,longitude
1,19MAY17:07:37:10,40.047256,-83.076363
1,19MAY17:07:37:11,40.047253,-83.076546
1,19MAY17:07:37:12,40.047256,-83.076721
1,19MAY17:07:37:13,40.047256,-83.076874
1,19MAY17:07:37:14,40.047268,-83.077034
1,19MAY17:07:37:15,40.047295,-83.077171
1,19MAY17:07:37:16,40.047314,-83.077309
1,19MAY17:07:37:17,40.04734,-83.077415
1,19MAY17:07:37:18,40.047344,-83.077499
1,19MAY17:07:37:19,40.047379,-83.07756
1,19MAY17:07:37:20,40.04744,-83.077576
1,19MAY17:07:37:21,40.047489,-83.077591
1,19MAY17:07:37:23,40.04771,-83.077553
1,19MAY17:07:37:24,40.047764,-83.077538
1,19MAY17:07:37:25,40.047867,-83.07753
1,19MAY17:07:37:26,40.047966,-83.077515
1,19MAY17:07:37:27,40.048061,-83.077515
1,19MAY17:07:37:28,40.048164,-83.077492
1,19MAY17:07:37:29,40.048283,-83.077499
1,19MAY17:07:37:30,40.048389,-83.077507
1,19MAY17:07:37:31,40.048496,-83.077484
1,19MAY17:07:37:33,40.048767,-83.077469
1,19MAY17:07:37:34,40.048874,-83.077454
1,19MAY17:07:37:35,40.049,-83.077446
1,19MAY17:07:37:36,40.049126,-83.077446
1,19MAY17:07:37:37,40.049252,-83.077423
1,19MAY17:07:37:38,40.049381,-83.0774
1,19MAY17:07:37:39,40.049511,-83.077393
1,19MAY17:07:37:40,40.049622,-83.077385
1,19MAY17:07:37:41,40.049759,-83.077393
1,19MAY17:07:37:43,40.049999,-83.077354
1,19MAY17:07:37:44,40.050106,-83.077339
1,19MAY17:07:37:45,40.050243,-83.077339
1,19MAY17:07:37:46,40.050358,-83.077332
1,19MAY17:07:37:47,40.050468,-83.077301
1,19MAY17:07:37:48,40.050591,-83.077301
1,19MAY17:07:37:49,40.050713,-83.077286
1,19MAY17:07:37:50,40.050838,-83.077278
1,19MAY17:07:37:51,40.050964,-83.077263
1,19MAY17:07:37:52,40.051094,-83.077255
1,19MAY17:07:37:53,40.051231,-83.077248
1,19MAY17:07:37:54,40.051357,-83.077248
1,19MAY17:07:37:55,40.051468,-83.07724
1,19MAY17:07:37:57,40.051701,-83.077232
1,19MAY17:07:37:58,40.051785,-83.077225
1,19MAY17:07:38:00,40.05201,-83.077217
1,19MAY17:07:38:02,40.052212,-83.077217
1,19MAY17:07:38:04,40.052505,-83.077286
1,19MAY17:07:38:05,40.05262,-83.077324
1,19MAY17:07:38:06,40.052544,-83.077347
1,19MAY17:07:38:07,40.052628,-83.077354
1,19MAY17:07:38:08,40.052673,-83.077423
1,19MAY17:07:38:09,40.052723,-83.077492
1,19MAY17:07:38:10,40.052895,-83.077538
1,19MAY17:07:38:11,40.052849,-83.077423
1,19MAY17:07:38:12,40.05291,-83.077415
1,19MAY17:07:38:14,40.052963,-83.077415
1,19MAY17:07:38:15,40.053169,-83.077393
1,19MAY17:07:38:16,40.053192,-83.077278
1,19MAY17:07:38:17,40.053288,-83.077255
1,19MAY17:07:38:18,40.053349,-83.077248
1,19MAY17:07:38:19,40.053261,-83.077194
